matricula,nome,salario,codigo_setor,cidade,tempo_empresa_anos,ativo
000003771,Tatiane Santos,3784.41,ADM,Curitiba,24,1
000006672,Eduardo Lima,3238.45,MKT,Curitiba,19,1
000007261,Eduardo Santos,17519.5,SUP,Curitiba,18,1
000000760,Elisa Santos,16121.41,JUR,Belo Horizonte,0,1
000003779,Diego Gomes,20247.82,OPER,Joinville,6,1
000001772,Douglas Silva,12334.58,LOG,Joinville,12,0
000007509,Gabriel Silva,15608.06,RH,Joinville,12,0
000002679,Cecilia Rocha,7745.84,JUR,Maringa,28,0
000002305,Paula Lima,20290.99,ADM,Rio de Janeiro,19,1
000009215,Mateus Araujo,9019.57,SUP,Rio de Janeiro,9,1
000003625,Vanessa Teixeira,9755.29,LOG,Curitiba,33,0
000004236,Daniela Ferreira,13564.9,SUP,Curitiba,27,1
000009005,Mariana Pereira,16660.87,TI,Sao Paulo,21,0
000005924,Joao Gomes,15714.49,LOG,Joinville,21,1
000003093,Fabio Nascimento,5564.9,MKT,Curitiba,31,0
000007590,Ana Ferreira,17882.72,MKT,Joinville,13,0
000004736,Joao Nascimento,20528.69,JUR,Belo Horizonte,25,0
000004366,Ana Araujo,2029.5,LOG,Curitiba,35,0
000004056,Juliana Almeida,12017.47,OPER,Florianopolis,2,0
000004178,Mariana Pereira,8391.14,TI,Porto Alegre,11,1
000001287,Renata Ferreira,5942.16,ADM,Rio de Janeiro,16,0
000008343,Bruno Lima,10591.01,RH,Florianopolis,13,1
000004623,Isabela Ferreira,10375.66,LOG,Rio de Janeiro,33,1
000002066,Eduardo Santos,5150.83,FIN,Belo Horizonte,12,1
000009099,Caio Nascimento,15709.54,TI,Curitiba,12,1
000005950,Juliana Nascimento,7534.38,COM,Rio de Janeiro,32,1
000001547,Nathan Oliveira,20004.23,OPER,Sao Paulo,10,1
000007599,Douglas Rocha,10482.97,SUP,Maringa,11,1
000000313,Caio Rocha,17912.62,MKT,Maringa,17,1
000008321,Cecilia Ribeiro,16873.9,TI,Belo Horizonte,12,1
000003916,Paula Melo,6871.37,JUR,Londrina,10,1
