matricula,nome,salario,codigo_setor,cidade,tempo_empresa_anos,ativo
000033174,Igor Rodrigues,9892.32,JUR,Campinas,31,0
000046334,Bruno Nascimento,8389.78,ADM,Porto Alegre,28,1
000020086,Cecilia Pereira,15360.92,SUP,Belo Horizonte,8,1
000044380,Douglas Ferreira,13986.37,ADM,Belo Horizonte,31,1
000026214,Ana Gomes,12962.99,FIN,Maringa,0,0
000016296,Ana Ribeiro,4262.52,MKT,Londrina,8,1
000030567,Douglas Ferreira,18544.07,SUP,Joinville,11,0
000046444,Carlos Santos,17474.77,OPER,Sao Paulo,19,0
000040592,Tatiane Pereira,19579.27,JUR,Campinas,20,0
000047045,Paula Rodrigues,15829.01,FIN,Maringa,12,1
000048109,Vitor Lima,16404.94,COM,Porto Alegre,26,1
000042474,Nathan Ribeiro,15588.59,COM,Joinville,30,0
000028745,Tiago Barbosa,22325.99,ADM,Joinville,3,1
000020636,Giovana Araujo,8704.92,TI,Londrina,16,0
000013074,Vitor Teixeira,19062.67,JUR,Porto Alegre,23,1
000033268,Douglas Rodrigues,18486.09,JUR,Maringa,7,0
000014663,Larissa Martins,1993.95,MKT,Maringa,3,0
000034664,Mateus Santos,18686.19,TI,Porto Alegre,19,1
000016921,Diego Nascimento,14826.8,RH,Rio de Janeiro,12,1
000038993,Fernanda Ribeiro,12343.51,MKT,Londrina,29,1
000033783,Joao Rocha,19866.99,RH,Rio de Janeiro,15,0
000024021,Yasmin Melo,4255.2,OPER,Belo Horizonte,14,1
000038342,Pedro Almeida,11055.12,MKT,Curitiba,2,1
000019718,Rafael Carvalho,8095.77,RH,Joinville,34,0
000043305,Nicole Oliveira,22154.5,JUR,Porto Alegre,15,0
000030210,Gabriel Santos,15422.69,RH,Belo Horizonte,14,0
000042825,Aline Santos,23518.66,OPER,Curitiba,24,1
000048640,Henrique Rodrigues,10544.99,ADM,Belo Horizonte,0,1
000036426,Cecilia Araujo,11275.69,RH,Sao Paulo,14,0
000011239,Vanessa Souza,11305.76,JUR,Maringa,19,0
000015799,Henrique Rodrigues,17872.87,LOG,Florianopolis,18,1
000048888,Mateus Oliveira,19968.16,OPER,Florianopolis,28,1
000042279,Aline Carvalho,22444.14,FIN,Florianopolis,32,1
000040965,Fabio Melo,6288.72,ADM,Porto Alegre,27,1
000005357,Gabriel Barbosa,16487.93,ADM,Belo Horizonte,9,0
000018670,Bianca Pereira,18659.08,JUR,Porto Alegre,2,1
000049991,Mateus Gomes,15102.83,RH,Porto Alegre,32,0
000043959,Bruno Rocha,6796.02,FIN,Porto Alegre,35,1
000013435,Fabio Almeida,21346.89,RH,Sao Paulo,14,0
000029288,Samuel Rocha,14618.93,TI,Belo Horizonte,27,0
000016081,Fabio Gomes,19143.76,ADM,Curitiba,30,0
000039904,Fernanda Martins,12083.44,LOG,Campinas,1,0
000002203,Gabriel Barbosa,22213.12,TI,Porto Alegre,11,0
000004575,Nathan Barbosa,2073.05,OPER,Florianopolis,5,0
000022812,Fernanda Teixeira,17777.29,RH,Maringa,25,0
000043573,Gabriel Santos,2578.11,RH,Curitiba,1,0
000018341,Diego Martins,15627.84,TI,Florianopolis,29,0
000046165,Helena Gomes,11867.73,TI,Sao Paulo,30,1
000044107,Eduardo Pereira,13935.45,OPER,Curitiba,24,0
000013617,Helena Martins,20477.03,COM,Rio de Janeiro,2,1
000025307,Igor Ribeiro,14193.2,COM,Florianopolis,5,0
000038236,Willian Ribeiro,10579.28,FIN,Florianopolis,17,1
000011799,Tatiane Silva,14524.6,MKT,Campinas,2,0
000017914,Willian Rocha,13634.11,SUP,Curitiba,6,1
000003002,Daniela Rocha,2380.51,OPER,Sao Paulo,8,1
000028098,Ana Ferreira,12603.42,COM,Florianopolis,3,1
000032772,Renata Souza,17303.76,ADM,Sao Paulo,21,1
000027750,Willian Nascimento,16552.76,COM,Joinville,3,0
000022436,Rafael Martins,22840.81,OPER,Porto Alegre,30,1
000037795,Diego Rodrigues,24518.94,TI,Maringa,30,0
000018671,Igor Martins,22448.37,LOG,Sao Paulo,29,1
